cris_id,title,publication_type,doi,doi_link,resolved_doi_link
16473626,The Integration of Task and Data Parallel Skeletons,Forschungsartikel (Zeitschrift),10.1142/S0129626402000896,https://doi.org/10.1142/S0129626402000896,https://www.worldscientific.com/doi/abs/10.1142/S0129626402000896
16476216,Measures of Dispersion and Cluster-Trees for Categorical Data,Forschungsartikel in Sammelband (Konferenz),10.1007/978-3-540-78246-9_20,https://doi.org/10.1007/978-3-540-78246-9_20,https://link.springer.com/chapter/10.1007/978-3-540-78246-9_20
16476535,The Value of the Last Digit. Statistical Fraud Detection with Digit Analysis,Forschungsartikel (Zeitschrift),10.1007/s11634-009-0048-5,https://doi.org/10.1007/s11634-009-0048-5,https://link.springer.com/article/10.1007/s11634-009-0048-5
16809077,Price Discovery and Investor Structure in Stock Index Futures,Forschungsartikel (Zeitschrift),10.1002/fut.20469,https://doi.org/10.1002/fut.20469,https://onlinelibrary.wiley.com/doi/10.1002/fut.20469
16809159,Do Individual Index Futures Investors Destabilize the Underlying Spot Market?,Forschungsartikel (Zeitschrift),10.1002/fut.20460,https://doi.org/10.1002/fut.20460,https://onlinelibrary.wiley.com/doi/10.1002/fut.20460
16820506,The Quality of Monetary Policy and Inflation Performance: Globalization and Its Aftermath,Forschungsartikel (Zeitschrift),10.2139/ssrn.1513263,https://doi.org/10.2139/ssrn.1513263,http://www.ssrn.com/abstract=1513263
16820590,Stock Return Seasonalities and Investor Structure: Evidence from China's B-Share Markets,Forschungsartikel (Zeitschrift),10.1016/j.chieco.2009.12.004,https://doi.org/10.1016/j.chieco.2009.12.004,https://linkinghub.elsevier.com/retrieve/pii/S1043951X0900159X
16820677,Real-Time Forecasting and Political Stock Market Anomalies: Evidence for the United States,Forschungsartikel (Zeitschrift),10.1111/j.1540-6288.2008.00196.x,https://doi.org/10.1111/j.1540-6288.2008.00196.x,https://onlinelibrary.wiley.com/doi/10.1111/j.1540-6288.2008.00196.x
16820763,German Monetary Unification and the Stability of the German M3 Money Demand Function,Forschungsartikel (Zeitschrift),10.1016/S0165-1765(99)00223-2,https://doi.org/10.1016/S0165-1765(99)00223-2,https://linkinghub.elsevier.com/retrieve/pii/S0165176599002232
16820849,Nonstationary Stochastic Seasonality and the German M2 Money Demand Function,Forschungsartikel (Zeitschrift),10.1016/S0014-2921(98)00068-3,https://doi.org/10.1016/S0014-2921(98)00068-3,https://linkinghub.elsevier.com/retrieve/pii/S0014292198000683
17004816,ID-Services: An RFID Middleware Architecture for Mobile Applications,Forschungsartikel (Zeitschrift),10.1007/s10796-009-9214-8,https://doi.org/10.1007/s10796-009-9214-8,https://link.springer.com/article/10.1007/s10796-009-9214-8
17006004,Die Rolle des Rechts in einer durch das Web 2.0 dominierten Welt,Forschungsartikel (Zeitschrift),10.1007/s11623-010-0130-3,https://doi.org/10.1007/s11623-010-0130-3,https://link.springer.com/article/10.1007/s11623-010-0130-3
17016532,Steering Sales Reps Through Cost Information: An Investigation into the Black Box of Cognitive References and Negotiation Behavior,Forschungsartikel (Zeitschrift),10.1016/j.ijresmar.2009.08.006,https://doi.org/10.1016/j.ijresmar.2009.08.006,https://linkinghub.elsevier.com/retrieve/pii/S0167811609000901
17057299,The Impact of New Media on Customer Relationships,Forschungsartikel (Zeitschrift),10.1177/1094670510375460,https://doi.org/10.1177/1094670510375460,https://journals.sagepub.com/doi/10.1177/1094670510375460
17070909,Learning Arrangements in Virtual Worlds,Forschungsartikel in Sammelband (Konferenz),10.1109/HICSS.2010.251,https://doi.org/10.1109/HICSS.2010.251,https://ieeexplore.ieee.org/document/5428766/
17070987,A Framework to Measure Benefits and Costs of Virtual Communities – The Case of the Berlin Stock Exchange,Forschungsartikel in Sammelband (Konferenz),10.1109/HICSS.2010.147,https://doi.org/10.1109/HICSS.2010.147,https://ieeexplore.ieee.org/document/5428689/
17072341,Impact of PPPs to Broadband Diffusion in Europe,Forschungsartikel (Zeitschrift),10.1108/17506160910997874,https://doi.org/10.1108/17506160910997874,https://www.emerald.com/insight/content/doi/10.1108/17506160910997874/full/html
17072420,A Concept for Mobile Ad-Hoc Messaging Networks (AMNet),Forschungsartikel (Zeitschrift),10.4018/jitwe.2009010101,https://doi.org/10.4018/jitwe.2009010101,https://www.igi-global.com/gateway/article/4027
